Artist;Title;Decade;Themes;Final;Tab
2be3;Partir un jour;90;Au revoir !,Les groupes;_;https://www.tabs4acoustic.com/forum-guitare/2be3-partir-un-jour-t11699.html
Alain Bashung;Gaby oh Gaby;70;Initiales AB,Les prénoms,Bis repetita,Les Alains,Onomatopée;_;https://tabs.ultimate-guitar.com/tab/alain-bashung/gaby-oh-gaby-chords-2082607
Alain Souchon;Foule sentimentale;90;La foule sentimentale,Les Alains;MC;https://tabs.ultimate-guitar.com/tab/alain-souchon/foule-sentimentale-chords-1838701
Amel Bent;Ne retiens pas tes larmes;2000;Initiales AB,Rupture difficile;_;https://www.boiteachansons.net/Partitions/Amel-Bent/Ne-retiens-pas-tes-larmes.php
Amel Bent;Ma philosophie;2000;Initiales AB,Vous avez 4 heures;MC;https://tabs.ultimate-guitar.com/tab/kids-united/ma-philosophie-chords-2895629
Amir;J'ai cherché;2010;En 4 lettres,Chercher et trouver,Prénom sans nom;_;http://users.sfr.be/COD08664/partition-amir-j-ai-cherche.html
Anaïs;Mon cœur mon amour;2000;C'est l'amour,Prénom sans nom,Les Anaïs,Possessif;MC;https://tabs.ultimate-guitar.com/tab/anais/mon-coeur-mon-amour-chords-1737176
Axel Bauer,Axel Bauer et Zazie;À ma place;2000;Initiales AB,Dans la place,Les duos;_;https://tabs.ultimate-guitar.com/tab/zazie/a-ma-place-chords-1017946
Axel Bauer;Cargo;80;Initiales AB,Moyens de transport,Rock,En 5 lettres;_;https://tabs.ultimate-guitar.com/tab/axel-bauer/cargo-de-nuit-tabs-2081149
Axel Bauer;Éteins la lumière;90;Initiales AB,Rock,À l'impératif;_;https://tabs.ultimate-guitar.com/tab/1683933
Bandolero;Paris Latino;80;Titre espagnol,Les groupes;_;http://users.sfr.be/COD08664/partition-bandolero-paris-latino.html
BB Brunes;Dis-moi;2000;Initiales BB,Rock,C'est celui qui dit...,À l'impératif,Les groupes,C'est moi;_;https://tabs.ultimate-guitar.com/tab/bb-brunes/dis-moi-chords-1681638
Ben l'Oncle Soul;Soulman;2010;Superhéros,Les Bens;MC;https://tabs.ultimate-guitar.com/tab/ben-loncle-soul/soulman-chords-1715034
Bénabar;Maritie et Gilbert Carpentier;2000;Les Bens,Les duos,Les pseudos,Petit ou grand écran;_;https://tabs.ultimate-guitar.com/tab/2168393
Black M;Sur ma route;2010;Les rappeurs,Les pseudos;_;https://tabs.ultimate-guitar.com/tab/black-m/sur-ma-route-chords-1668107
Brigitte;Battez-vous;2010;Les Brigitte,À l'impératif,Les duos,Groupe de filles;_;https://tabs.ultimate-guitar.com/tab/les-brigittes/battez-vous-chords-1077108
Brigitte Bardot;Harley Davidson;60;David et David,Initiales BB,Signé Gainsbourg,Les Brigitte,Moyens de transport;MC;https://tabs.ultimate-guitar.com/tab/brigitte-bardot/harley-davidson-chords-2323373
Calogero;C'est dit;2000;C'est celui qui dit...,C'est C'est C'est Chimène;_;https://tabs.ultimate-guitar.com/tab/calogero/cest-dit-chords-838037
Calogero,Calogero et Passi;Face à la Mer;2000;Les rappeurs,Les duos;_;https://tabs.ultimate-guitar.com/tab/calogero/face-a-la-mer-chords-1801264
Calogero;Pomme C;2000;.com;MC;https://www.boiteachansons.net/Partitions/Calogero/Pomme-C.php
